hund,chien
katt,chat
bil,voiture
hus,maison
bok,livre
gå,marcher
äta,manger
dricka,boire
vatten,eau
sol,soleil
elefant,éléphant
flygplan,avion
snö,neige
dator,ordinateur
grapefrukt,pamplemousse
klocka,horloge
kamera,appareil photo
skola,école
sko,chaussure
kaffe,café
sjukhus,hôpital
vän,ami
fågel,oiseau
stol,chaise
musik,musique
film,film
skog,forêt
telefon,téléphone
glas,verre
kön,sexe
måne,lune
natt,nuit
eld,feu
människa,homme
träd,arbre
fisk,poisson
näsa,nez
öga,œil
öra,oreille
mun,bouche
nagel,ongle
fot,pied
hand,main
huvud,tête
mage,ventre
rygg,dos
arm,bras
ben,jambe
finger,doigt
tå,orteil
hår,cheveux
hud,peau
kläder,vêtements
skor,chaussures
hatt,chapeau
väska,sac
bord,table
stol,chaise
bädd,lit
soffa,canapé
ljus,lumière
fönster,fenêtre
dörr,porte
nyckel,clé
vattenflaska,bouteille d'eau
lunch,déjeuner
middag,dîner
frukost,petit déjeuner
soluppgång,lever de soleil
solnedgång,coucher de soleil
regnbåge,arc-en-ciel
stjärna,étoile
planet,planète
jord,terre
eldfluga,luciole
skugga,ombre
spegel,miroir
vind,vent
regn,pluie
snöflinga,flocon de neige
moln,nube
tornado,tornade
blomma,fleur
gräs,herbe
busk,buisson
berg,montagne
flod,rivière
sjö,lac
