hund,dog
katt,cat
bil,car
hus,house
bok,book
gå,walk
äta,eat
dricka,drink
vatten,water
sol,sun
elefant,elephant
flygplan,airplane
snö,snow
dator,computer
grapefrukt,grapefruit
klocka,clock
kamera,camera
skola,school
sko,shoe
kaffe,coffee
sjukhus,hospital
vän,friend
fågel,bird
stol,chair
musik,music
film,movie
skog,forest
telefon,telephone
glas,glass
kön,gender
måne,moon
natt,night
eld,fire
människa,human
träd,tree
fisk,fish
näsa,nose
öga,eye
öra,ear
mun,mouth
nagel,nail
fot,foot
hand,hand
huvud,head
mage,stomach
rygg,back
arm,arm
ben,leg
finger,finger
tå,toe
hår,hair
hud,skin
kläder,clothes
skor,shoes
hatt,hat
väska,bag
bord,table
stol,chair
säng,bed
soffa,sofa
ljus,light
fönster,window
dörr,door
nyckel,key
vattenflaska,water bottle
lunch,lunch
middag,dinner
frukost,breakfast
soluppgång,sunrise
solnedgång,sunset
regnbåge,rainbow
stjärna,star
planet,planet
jord,earth
eldfluga,firefly
skugga,shadow
spegel,mirror
vind,wind
regn,rain
snöflinga,snowflake
moln,cloud
tornado,tornado
regnbåge,rainbow
blomma,flower
gräs,grass
bush,bush
skog,forest
berg,mountain
flod,river
sjö,lake
ocean,ocean
strand,beach
ö,isle
öknen,desert
vattenfall,waterfall
kust,coast
öken,desert
städer,cities
hus,house
skyskrapa,skyscraper
park,park
bro,bridge
tunnel,tunnel
buss,bus
tåg,train
spårvagn,tram
bil,car
motorcykel,motorcycle
cykel,bicycle
båt,boat
flygplan,airplane
helikopter,helicopter
taxi,taxi
järnvägsstation,railway station
flygplats,airport
hamn,harbor
postkontor,post office
bank,bank
apotek,pharmacy
sjukhus,hospital
polisstation,police station
brandstation,fire station
biograf,cinema
teater,theater
museum,museum
skola,school
universitet,university
bibliotek,library
affär,store
restaurang,restaurant
kafé,café
hotell,hotel
apartment,apartment
rum,room
toilet,toilet
kök,kitchen
mat,food
dryck,drink
frukt,fruit
grönsaker,vegetables
kött,meat
fisk,fish
bröd,bread
ost,cheese
smör,butter
socker,sugar
salt,salt
peppar,pepper
kryddor,spices
soppa,soup
sallad,salad
nudlar,noodles
ris,rice
pasta,pasta
ägg,egg
mjölk,milk
tea,tea
kaffe,coffee
vatten,water
öl,beer
vin,wine
dryckesautomat,vending machine
supermarket,supermarket
kassa,cashier
pengar,money
kreditkort,credit card
mynt,coins
sedlar,bills
växel,pocket change
plånbok,wallet
handväska,handbag
mobiltelefon,mobile phone
dator,computer
telefon,telephone
TV,TV
radio,radio
kamera,camera
musik,music
film,movie
spel,game
sport,sport
fotboll,football
basket,basketball
tennis,tennis
simning,swimming
löpning,running
cykling,cycling
skidåkning,skiing
golf,golf
baseball,baseball
volleyboll,volleyball
boxning,boxing
segling,sailing
fiske,fishing
gymnastik,gymnastics
simhopp,diving
tennisbord,table tennis
skateboard,skateboard
